seq;timestamp_ms;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
178;1770;-5.887634;-0.317284;7.509597;-0.573822;0.268098;0.051332
179;1780;-5.889611;-0.439968;7.530804;-0.628297;0.279175;0.039425
180;1790;-5.865397;-0.631360;7.573211;-0.676880;0.290299;0.031525
181;1800;-5.858764;-0.889200;7.689306;-0.688937;0.308788;0.026186
182;1810;-5.923911;-1.112944;7.722550;-0.651800;0.303830;0.021312
183;1820;-5.990462;-1.244365;7.774277;-0.589205;0.271806;0.021591
184;1830;-5.929153;-1.196125;7.862919;-0.528434;0.256618;0.005053
185;1840;-5.987570;-1.297487;7.787508;-0.472261;0.242405;-0.000953
186;1850;-5.942150;-1.273424;7.753520;-0.407487;0.238988;-0.017508
187;1860;-5.894941;-1.186658;7.588389;-0.356528;0.260271;-0.023137
188;1870;-5.915493;-1.182477;7.523641;-0.318910;0.275716;-0.021439
189;1880;-5.974163;-1.150928;7.382616;-0.285081;0.288402;-0.021178
190;1890;-5.856865;-1.094798;7.254743;-0.282621;0.334458;-0.019706
191;1900;-5.946894;-1.059481;7.177258;-0.301707;0.412292;-0.038432
192;1910;-6.077670;-1.065720;7.107978;-0.336738;0.469941;-0.074137
193;1920;-6.074533;-1.004723;7.086519;-0.400443;0.524061;-0.104124
194;1930;-6.135073;-1.043881;7.074373;-0.473999;0.579321;-0.132484
195;1940;-6.231631;-1.162278;7.071490;-0.528555;0.630127;-0.159847
196;1950;-6.230345;-1.295019;6.990649;-0.567523;0.673835;-0.181619
197;1960;-6.378241;-1.425003;7.028803;-0.578148;0.711976;-0.209699
198;1970;-6.530877;-1.437943;7.044479;-0.589783;0.705732;-0.230721
199;1980;-6.745340;-1.372645;7.078448;-0.594910;0.630329;-0.200282
200;1990;-6.719632;-1.413731;7.140716;-0.589422;0.509752;-0.144835
201;2000;-6.763751;-1.849808;7.004657;-0.513125;0.404820;-0.111795
202;2010;-6.601185;-1.812977;6.942147;-0.415133;0.362057;-0.097386
203;2020;-6.607944;-1.718644;7.013307;-0.347554;0.369452;-0.084170
204;2030;-6.698581;-1.631635;7.100666;-0.325431;0.369219;-0.070083
205;2040;-6.809045;-1.775352;7.070220;-0.328227;0.355295;-0.062015
206;2050;-6.750871;-1.950605;6.981948;-0.323886;0.349285;-0.100340
207;2060;-6.716945;-1.919384;6.991387;-0.304986;0.348916;-0.117038
208;2070;-6.848953;-1.981608;6.871394;-0.273995;0.310152;-0.127080
209;2080;-6.606506;-2.007107;6.764539;-0.234789;0.294245;-0.126385
210;2090;-6.592231;-1.940003;6.661118;-0.206946;0.332713;-0.150367
211;2100;-6.679613;-1.817025;6.610299;-0.217482;0.350826;-0.155694
212;2110;-6.647936;-1.974460;6.617459;-0.233556;0.384338;-0.166726
213;2120;-6.735066;-1.993805;6.545229;-0.227503;0.404529;-0.195699
214;2130;-6.752661;-1.969194;6.602328;-0.236574;0.397845;-0.199195
215;2140;-6.796269;-1.967107;6.552920;-0.246047;0.394195;-0.206791
216;2150;-6.862728;-1.952602;6.556895;-0.256201;0.379103;-0.218130
217;2160;-6.898083;-1.969603;6.537817;-0.265524;0.368234;-0.218396
218;2170;-6.851961;-1.991767;6.477720;-0.279234;0.395630;-0.216714
219;2180;-6.922324;-2.015167;6.418548;-0.288947;0.445078;-0.226432
220;2190;-6.982404;-2.072278;6.415380;-0.276892;0.467489;-0.218429
221;2200;-7.039931;-2.092301;6.369635;-0.269071;0.486325;-0.210642
222;2210;-7.049349;-2.031681;6.236288;-0.254661;0.524229;-0.206011
223;2220;-7.160631;-2.041210;6.262510;-0.241808;0.519445;-0.192204
224;2230;-7.198998;-2.087699;6.231912;-0.207720;0.507971;-0.171439
225;2240;-7.224157;-2.004541;6.110902;-0.190250;0.518186;-0.153377
226;2250;-7.205365;-2.069206;6.035130;-0.162073;0.532715;-0.132455
227;2260;-7.266731;-2.056954;6.016870;-0.117713;0.520347;-0.098157
228;2270;-7.333664;-2.005714;6.001181;-0.072222;0.495167;-0.066953
229;2280;-7.220855;-2.075737;5.983581;-0.039719;0.498181;-0.027554
230;2290;-7.064240;-2.144616;5.773125;0.033175;0.566519;0.027583
231;2300;-7.182821;-2.220283;5.776666;0.142666;0.623159;0.105230
232;2310;-7.394797;-2.193850;5.743735;0.275315;0.652576;0.157442
233;2320;-7.474272;-1.977639;5.894089;0.377548;0.654236;0.202926
234;2330;-7.688168;-1.633394;6.070418;0.418970;0.594486;0.291107
235;2340;-7.665085;-1.711591;5.972757;0.413346;0.528627;0.389238
236;2350;-7.506096;-1.850123;5.726842;0.453072;0.531263;0.446801
237;2360;-7.558966;-1.788063;5.734939;0.520568;0.556078;0.506897
238;2370;-7.376139;-1.506594;5.694214;0.552157;0.578763;0.608687
239;2380;-7.357669;-1.066541;5.629292;0.525992;0.600993;0.803905
240;2390;-7.760487;-1.143482;5.567701;0.508958;0.563273;0.967261
241;2400;-7.896773;-1.742215;5.538429;0.612800;0.469346;1.044638
242;2410;-7.970256;-1.324294;5.925799;0.821039;0.315634;1.135812
243;2420;-8.165502;-1.057760;6.143180;0.924295;0.082909;1.333046
244;2430;-7.919420;-1.449026;5.916757;1.009219;-0.022347;1.455883
245;2440;-7.329746;-1.324512;5.476715;1.128092;0.093395;1.560024
246;2450;-7.426364;-0.959486;5.201158;1.243015;0.299936;1.673868
247;2460;-7.701829;-1.113938;5.123433;1.380578;0.511730;1.609272
248;2470;-7.864088;-0.837539;5.222178;1.517103;0.670269;1.519785
249;2480;-8.304302;-0.144192;5.681700;1.603637;0.692390;1.403215
250;2490;-8.687793;0.566656;6.123363;1.500431;0.545512;1.319320
251;2500;-8.823658;0.795969;6.269712;1.287722;0.327905;1.235978
252;2510;-8.734180;0.881830;6.338434;1.053716;0.123105;1.121316
253;2520;-8.532439;0.864738;6.218960;0.821024;-0.033407;0.981667
254;2530;-8.152590;0.709514;5.770647;0.615426;-0.075368;0.881166
255;2540;-7.894618;0.512618;5.406448;0.532283;-0.015918;0.767934
256;2550;-7.809452;0.538147;5.386387;0.527582;0.030335;0.720847
257;2560;-7.629020;0.657350;5.162322;0.571146;0.075059;0.803435
258;2570;-7.870457;0.541284;5.141000;0.710205;0.103140;0.833868
259;2580;-7.978992;0.788766;5.329535;0.861078;0.102439;0.789641
260;2590;-8.131104;1.354533;5.679165;0.913464;0.044806;0.797320
261;2600;-8.493735;1.802705;5.993694;0.853446;-0.098162;0.792009
262;2610;-8.650347;1.854892;6.163675;0.726835;-0.300053;0.784397
263;2620;-8.421238;1.736021;6.025132;0.606583;-0.432757;0.742010
264;2630;-8.161881;1.713935;5.856953;0.535549;-0.488764;0.684100
265;2640;-7.921410;1.304728;5.554152;0.549958;-0.493799;0.664643
266;2650;-7.635977;1.114694;5.418328;0.730389;-0.454725;0.719943
267;2660;-7.771097;1.249084;5.530303;0.960447;-0.436493;0.754363
268;2670;-7.801241;1.511724;5.634957;1.144423;-0.452688;0.783461
269;2680;-7.819360;1.831684;5.815635;1.273171;-0.490090;0.831696
