seq;timestamp_ms;rot_xx;rot_xy;rot_xz;rot_yx;rot_yy;rot_yz;rot_zx;rot_zy;rot_zz
181;3600;-0.140169;-0.869838;-0.473005;0.986897;-0.161296;0.004163;-0.079915;-0.466224;0.88105
182;3620;-0.150252;-0.864726;-0.479243;0.986857;-0.160342;-0.020084;-0.059475;-0.475962;0.877452
183;3640;-0.162188;-0.859698;-0.48437;0.986023;-0.160165;-0.045891;-0.038126;-0.485043;0.873659
184;3660;-0.171337;-0.85684;-0.486281;0.985132;-0.155322;-0.073421;-0.01262;-0.491631;0.870712
185;3680;-0.1839;-0.853053;-0.488346;0.982847;-0.152561;-0.103621;0.013892;-0.499025;0.866476
186;3700;-0.198671;-0.844409;-0.497496;0.979241;-0.150207;-0.136104;0.0402;-0.514209;0.856722
187;3720;-0.213491;-0.833555;-0.509517;0.974592;-0.145539;-0.170262;0.067768;-0.532921;0.843447
188;3740;-0.227069;-0.822491;-0.521487;0.969483;-0.140087;-0.201193;0.092426;-0.551257;0.8292
189;3760;-0.237043;-0.816329;-0.526705;0.964898;-0.134731;-0.225434;0.113065;-0.561654;0.819611
190;3780;-0.246487;-0.810798;-0.530897;0.9604;-0.130924;-0.245948;0.129907;-0.570496;0.810961
191;3800;-0.25727;-0.804118;-0.535917;0.954451;-0.124725;-0.271046;0.151111;-0.581238;0.799579
192;3820;-0.269419;-0.794362;-0.544429;0.948035;-0.119423;-0.294903;0.169242;-0.59559;0.785258
193;3840;-0.280192;-0.78196;-0.556805;0.94113;-0.109494;-0.319821;0.18912;-0.613637;0.766605
194;3860;-0.290063;-0.771821;-0.565824;0.934728;-0.101652;-0.340516;0.2053;-0.627662;0.750928
195;3880;-0.29828;-0.76267;-0.573902;0.929547;-0.095584;-0.356099;0.216731;-0.639686;0.737448
196;3900;-0.306262;-0.751662;-0.58413;0.923234;-0.084962;-0.374727;0.232039;-0.654054;0.71998
197;3920;-0.314592;-0.739433;-0.595206;0.917954;-0.077361;-0.389071;0.241646;-0.66877;0.703103
198;3940;-0.322183;-0.726001;-0.607553;0.913091;-0.068883;-0.401896;0.249927;-0.684235;0.685097
199;3960;-0.328623;-0.717169;-0.614553;0.908635;-0.062555;-0.412879;0.257661;-0.694086;0.672202
200;3980;-0.334095;-0.709235;-0.620779;0.900954;-0.046828;-0.431381;0.276881;-0.703415;0.654633
201;4000;-0.341667;-0.699434;-0.627739;0.888769;-0.023317;-0.457762;0.305537;-0.714317;0.629601
202;4020;-0.352784;-0.686241;-0.636095;0.875911;-0.003083;-0.482462;0.329124;-0.727368;0.602174
203;4040;-0.360128;-0.670861;-0.648269;0.868746;0.012082;-0.495111;0.339983;-0.741484;0.578457
204;4060;-0.364466;-0.654548;-0.662368;0.866304;0.022591;-0.499006;0.341587;-0.755683;0.558804
205;4080;-0.368099;-0.644461;-0.670204;0.862886;0.031695;-0.504405;0.346311;-0.76398;0.544429
206;4100;-0.371277;-0.636117;-0.676394;0.856455;0.046771;-0.514099;0.358662;-0.770174;0.527441
207;4120;-0.373511;-0.626205;-0.684366;0.850337;0.063689;-0.52237;0.370697;-0.777053;0.508697
208;4140;-0.374122;-0.613006;-0.695885;0.85031;0.072751;-0.52123;0.370143;-0.786722;0.494027
209;4160;-0.367384;-0.60205;-0.708918;0.854349;0.082791;-0.513062;0.367581;-0.794155;0.483945
210;4180;-0.360739;-0.587277;-0.724551;0.861376;0.0881;-0.50027;0.357629;-0.804577;0.474085
211;4200;-0.353241;-0.57822;-0.735447;0.864613;0.098465;-0.492696;0.357303;-0.809917;0.465155
212;4220;-0.343753;-0.573573;-0.743537;0.866826;0.110718;-0.486162;0.361173;-0.811637;0.459129
213;4240;-0.326642;-0.570429;-0.753601;0.873347;0.122671;-0.471399;0.361345;-0.812134;0.458113
214;4260;-0.308565;-0.570245;-0.76132;0.882048;0.128065;-0.453421;0.356059;-0.811431;0.463467
215;4280;-0.289222;-0.574243;-0.765895;0.893051;0.126235;-0.431886;0.344691;-0.808894;0.476318
216;4300;-0.274525;-0.580742;-0.766404;0.900299;0.124746;-0.417012;0.337782;-0.804473;0.488596
217;4320;-0.253677;-0.586421;-0.769259;0.905342;0.136081;-0.40229;0.340593;-0.798494;0.496391
218;4340;-0.220458;-0.577601;-0.785987;0.91682;0.152334;-0.369102;0.332926;-0.80198;0.495973
219;4360;-0.187182;-0.559925;-0.807122;0.933642;0.154049;-0.323392;0.305412;-0.814096;0.493934
220;4380;-0.16114;-0.55546;-0.815781;0.948493;0.141281;-0.283552;0.272756;-0.819454;0.504083
221;4400;-0.140841;-0.568922;-0.810242;0.955363;0.13658;-0.261968;0.259702;-0.810971;0.524291
222;4420;-0.123249;-0.590701;-0.797422;0.957033;0.141788;-0.25295;0.262483;-0.794335;0.547845
223;4440;-0.103534;-0.603669;-0.790484;0.958815;0.150765;-0.240717;0.264491;-0.78285;0.563197
224;4460;-0.09076;-0.602639;-0.792836;0.964321;0.145627;-0.221083;0.248691;-0.784614;0.567921
225;4480;-0.082292;-0.604152;-0.792609;0.968754;0.138223;-0.205938;0.233975;-0.78479;0.573899
226;4500;-0.073838;-0.625566;-0.776669;0.969524;0.137401;-0.202842;0.233606;-0.767977;0.596356
227;4520;-0.059056;-0.665765;-0.743821;0.96808;0.143621;-0.20541;0.243583;-0.732209;0.636032
228;4540;-0.043231;-0.695789;-0.716944;0.968611;0.146643;-0.200722;0.244795;-0.703117;0.667609
229;4560;-0.028293;-0.696212;-0.717278;0.974565;0.140374;-0.174693;0.222311;-0.703977;0.674533
230;4580;-0.016052;-0.689342;-0.724258;0.981066;0.128966;-0.144493;0.19301;-0.712864;0.67422
231;4600;-0.002269;-0.689917;-0.723885;0.984574;0.125107;-0.122322;0.174956;-0.712996;0.67899
232;4620;0.012811;-0.70691;-0.707188;0.986596;0.123999;-0.106078;0.162678;-0.69635;0.699023
233;4640;0.029549;-0.73066;-0.682102;0.987521;0.126946;-0.093202;0.154689;-0.670836;0.725293
234;4660;0.04633;-0.74373;-0.666872;0.988303;0.131227;-0.07769;0.145292;-0.655473;0.741111
235;4680;0.064435;-0.747807;-0.660782;0.989013;0.136135;-0.057621;0.133045;-0.649809;0.748363
236;4700;0.088872;-0.750558;-0.654801;0.988978;0.144655;-0.031581;0.118424;-0.644777;0.755141
237;4720;0.120551;-0.754917;-0.644646;0.987275;0.159013;-0.001589;0.103707;-0.636251;0.76448
238;4740;0.149175;-0.759444;-0.633239;0.984658;0.172721;0.024817;0.090527;-0.627226;0.773559
239;4760;0.173274;-0.759294;-0.627255;0.981551;0.185404;0.046714;0.080826;-0.623778;0.777411
240;4780;0.196936;-0.752311;-0.628685;0.977599;0.199256;0.067795;0.074267;-0.627953;0.774699
241;4800;0.222388;-0.74499;-0.628914;0.972814;0.212319;0.092488;0.064628;-0.632385;0.771954
242;4820;0.254335;-0.739349;-0.62344;0.965767;0.228202;0.12336;0.051064;-0.633473;0.772078
243;4840;0.286449;-0.740483;-0.607973;0.957445;0.244612;0.153178;0.035292;-0.625979;0.779041
244;4860;0.311385;-0.745459;-0.589347;0.95009;0.256753;0.177222;0.019205;-0.615117;0.788202
245;4880;0.33441;-0.75299;-0.566724;0.942407;0.2712;0.195755;0.006294;-0.599547;0.800315
246;4900;0.353751;-0.759498;-0.545915;0.935317;0.28316;0.212139;-0.006538;-0.585647;0.810539
247;4920;0.374387;-0.76332;-0.526476;0.927098;0.297129;0.228479;-0.017971;-0.573635;0.818914
248;4940;0.392062;-0.767544;-0.507113;0.919378;0.307663;0.245128;-0.032126;-0.562334;0.826286
249;4960;0.406202;-0.773757;-0.486107;0.912295;0.313052;0.264037;-0.052124;-0.550725;0.833057
250;4980;0.423092;-0.781941;-0.45778;0.903326;0.324596;0.280429;-0.070686;-0.532171;0.843681
251;5000;0.433997;-0.792545;-0.428391;0.897088;0.336391;0.286486;-0.082946;-0.508638;0.856975
252;5020;0.440254;-0.800647;-0.406376;0.892549;0.341038;0.295041;-0.097634;-0.492603;0.86476
253;5040;0.445706;-0.806095;-0.389303;0.887484;0.341003;0.309982;-0.117121;-0.483662;0.867384
254;5060;0.449037;-0.812381;-0.372026;0.882633;0.338516;0.326137;-0.139011;-0.47481;0.869041
255;5080;0.450784;-0.81835;-0.356507;0.877821;0.333957;0.343371;-0.161939;-0.467735;0.868907
256;5100;0.455053;-0.821629;-0.343296;0.874307;0.33915;0.347223;-0.16886;-0.458152;0.872688
257;5120;0.458337;-0.824383;-0.332144;0.872244;0.345471;0.346178;-0.170637;-0.448376;0.877406
258;5140;0.458699;-0.826403;-0.326577;0.872194;0.348447;0.34331;-0.169918;-0.442315;0.880616
259;5160;0.458666;-0.826294;-0.326901;0.8732;0.350894;0.338223;-0.164764;-0.440582;0.882463
260;5180;0.456003;-0.827946;-0.326446;0.876095;0.353066;0.328332;-0.156584;-0.435718;0.886359
261;5200;0.453521;-0.829486;-0.325995;0.879076;0.356089;0.316902;-0.146783;-0.430296;0.890674
